service,year,fleet_efficiency_index_2021_100,annual_log_growth,basis
training,2021,100.0,0.209312,"B-path recal 2026-08-20: compute-weighted fleet-spec x2.31 (incCN, NVL72 rack-lean Blackwell power); IT-level, PUE via m_path; provenance efficiency-axes/ai-rederive/AUDIT_NOTE.md"
training,2022,123.2829,0.209312,"B-path recal 2026-08-20: compute-weighted fleet-spec x2.31 (incCN, NVL72 rack-lean Blackwell power); IT-level, PUE via m_path; provenance efficiency-axes/ai-rederive/AUDIT_NOTE.md"
training,2023,151.9868,0.209312,"B-path recal 2026-08-20: compute-weighted fleet-spec x2.31 (incCN, NVL72 rack-lean Blackwell power); IT-level, PUE via m_path; provenance efficiency-axes/ai-rederive/AUDIT_NOTE.md"
training,2024,187.3739,0.209312,"B-path recal 2026-08-20: compute-weighted fleet-spec x2.31 (incCN, NVL72 rack-lean Blackwell power); IT-level, PUE via m_path; provenance efficiency-axes/ai-rederive/AUDIT_NOTE.md"
training,2025,231.0,0.209312,"B-path recal 2026-08-20: compute-weighted fleet-spec x2.31 (incCN, NVL72 rack-lean Blackwell power); IT-level, PUE via m_path; provenance efficiency-axes/ai-rederive/AUDIT_NOTE.md"
inference,2021,100.0,0.209312,"B-path recal 2026-08-20: compute-weighted fleet-spec x2.31 (incCN, NVL72 rack-lean Blackwell power); IT-level, PUE via m_path; provenance efficiency-axes/ai-rederive/AUDIT_NOTE.md"
inference,2022,123.2829,0.209312,"B-path recal 2026-08-20: compute-weighted fleet-spec x2.31 (incCN, NVL72 rack-lean Blackwell power); IT-level, PUE via m_path; provenance efficiency-axes/ai-rederive/AUDIT_NOTE.md"
inference,2023,151.9868,0.209312,"B-path recal 2026-08-20: compute-weighted fleet-spec x2.31 (incCN, NVL72 rack-lean Blackwell power); IT-level, PUE via m_path; provenance efficiency-axes/ai-rederive/AUDIT_NOTE.md"
inference,2024,187.3739,0.209312,"B-path recal 2026-08-20: compute-weighted fleet-spec x2.31 (incCN, NVL72 rack-lean Blackwell power); IT-level, PUE via m_path; provenance efficiency-axes/ai-rederive/AUDIT_NOTE.md"
inference,2025,231.0,0.209312,"B-path recal 2026-08-20: compute-weighted fleet-spec x2.31 (incCN, NVL72 rack-lean Blackwell power); IT-level, PUE via m_path; provenance efficiency-axes/ai-rederive/AUDIT_NOTE.md"
conventional,2021,100.0,0.151134,"B x R delivered IT path: B x1.61 (eta_new 11.65->21.1 conv basket, V 0.81->0.72 historical-rate backcast) x R 0.551->0.626; IT-level, PUE via m_path; direct-vintage ladder pending endpoint+SKU-class arbitration (conv-rederive/direct-vintage/AUDIT_NOTE.md)"
conventional,2022,116.3153,0.151134,"B x R delivered IT path: B x1.61 (eta_new 11.65->21.1 conv basket, V 0.81->0.72 historical-rate backcast) x R 0.551->0.626; IT-level, PUE via m_path; direct-vintage ladder pending endpoint+SKU-class arbitration (conv-rederive/direct-vintage/AUDIT_NOTE.md)"
conventional,2023,135.2924,0.151134,"B x R delivered IT path: B x1.61 (eta_new 11.65->21.1 conv basket, V 0.81->0.72 historical-rate backcast) x R 0.551->0.626; IT-level, PUE via m_path; direct-vintage ladder pending endpoint+SKU-class arbitration (conv-rederive/direct-vintage/AUDIT_NOTE.md)"
conventional,2024,157.3657,0.151134,"B x R delivered IT path: B x1.61 (eta_new 11.65->21.1 conv basket, V 0.81->0.72 historical-rate backcast) x R 0.551->0.626; IT-level, PUE via m_path; direct-vintage ladder pending endpoint+SKU-class arbitration (conv-rederive/direct-vintage/AUDIT_NOTE.md)"
conventional,2025,183.0403,0.151134,"B x R delivered IT path: B x1.61 (eta_new 11.65->21.1 conv basket, V 0.81->0.72 historical-rate backcast) x R 0.551->0.626; IT-level, PUE via m_path; direct-vintage ladder pending endpoint+SKU-class arbitration (conv-rederive/direct-vintage/AUDIT_NOTE.md)"
