case,interpretation,service,alpha,beta,service_index_2025_2021_1,service_log_growth_2021_2025_per_year,service_discrete_cagr_2021_2025,price_index_2025_2021_1,autonomous_index_2025_2021_1,autonomous_log_growth_2021_2025_per_year,autonomous_discrete_cagr_2021_2025,identification_status,start_A
central,primary_conditional_calibration_beta_ruling_2026-08-21_precedent_range_-0.7_-0.2_Labandeira2017_identification_argument,training,1.0,-0.5,9.335777121232242,0.5584635054130465,0.74798466692537,0.34448171206840217,4.862733827230155,0.3954001989126558,0.48497835874481243,conditional_accounting_residual_not_joint_estimate,1.0
central,primary_conditional_calibration_beta_ruling_2026-08-21_precedent_range_-0.7_-0.2_Labandeira2017_identification_argument,inference,1.0,-0.5,14.331510697811368,0.6656151645805111,0.9456870710324587,0.34448171206840217,7.464865641132579,0.5025518580801205,0.6529339461855477,conditional_accounting_residual_not_joint_estimate,1.0
central,primary_conditional_calibration_beta_ruling_2026-08-21_precedent_range_-0.7_-0.2_Labandeira2017_identification_argument,conv,1.0,-0.5,2.6109892721847716,0.23993229525218293,0.27116308363186414,0.5552713143199481,1.726651316773912,0.13654596941612196,0.1463075716543698,conditional_accounting_residual_not_joint_estimate,1.0
flat_price,one_factor_price_path_sensitivity_holding_central_elasticities,training,1.0,-0.5,9.335777121232242,0.5584635054130465,0.74798466692537,1.0,8.285093475685608,0.5286144833339433,0.6965800395207722,conditional_accounting_residual_not_joint_estimate,1.0
flat_price,one_factor_price_path_sensitivity_holding_central_elasticities,inference,1.0,-0.5,14.331510697811368,0.6656151645805111,0.9456870710324587,1.0,12.718588312172889,0.635766142501408,0.8884684232806495,conditional_accounting_residual_not_joint_estimate,1.0
flat_price,one_factor_price_path_sensitivity_holding_central_elasticities,conv,1.0,-0.5,2.6109892721847716,0.23993229525218293,0.27116308363186414,1.0,2.317138670209373,0.2100832731730798,0.23378079652089534,conditional_accounting_residual_not_joint_estimate,1.0
electricity_only_price,one_factor_upper_energy_price_pass_through_sensitivity_holding_central_elasticities,training,1.0,-0.5,9.335777121232242,0.5584635054130465,0.74798466692537,0.3992754494552094,5.23520528738974,0.413851514488683,0.512632506197231,conditional_accounting_residual_not_joint_estimate,1.0
electricity_only_price,one_factor_upper_energy_price_pass_through_sensitivity_holding_central_elasticities,inference,1.0,-0.5,14.331510697811368,0.6656151645805111,0.9456870710324587,0.3992754494552094,8.036652932815688,0.5210031736561477,0.6837158621695358,conditional_accounting_residual_not_joint_estimate,1.0
electricity_only_price,one_factor_upper_energy_price_pass_through_sensitivity_holding_central_elasticities,conv,1.0,-0.5,2.6109892721847716,0.23993229525218293,0.27116308363186414,0.5038924697137918,1.6448297755993735,0.12440922474603071,0.13247921470587665,conditional_accounting_residual_not_joint_estimate,1.0
alpha_low,one_factor_income_exponent_sensitivity_holding_central_elasticities,training,0.5,-0.5,9.335777121232242,0.5584635054130465,0.74798466692537,0.34448171206840217,5.068071817094759,0.4057401082639889,0.5004125569577507,conditional_accounting_residual_not_joint_estimate,1.0
